,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06032022hr1452,fullscreen,0,2326,0.0-0.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,12678,0.0-1.0-0.0-0.0,0,0,83590,"[{""page_index"":0,""viewing_time"":2334},{""page_index"":1,""viewing_time"":2497},{""page_index"":2,""viewing_time"":1277},{""page_index"":3,""viewing_time"":1221},{""page_index"":4,""viewing_time"":1239},{""page_index"":5,""viewing_time"":1781}]",10350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,17982,0.0-1.0-0.0-1.0,0,0,83590,,5298.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,18937,0.0-1.0-1.0,0,0,83590,,953.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,19585,0.0-1.0-2.0,0,0,83590,,645.0,,,68.0,0.0,0.0,1.0,1000.0,L-L,,L,L,3.0,3.0,dishwasher,garbagecan,dishwasher9,garbagecan9,28.0,38.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,1.0,dishwasher,garbagecan,L,L,3.0,3.0,dishwasher9,garbagecan9,,0.645,0.645,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,20443,0.0-1.0-3.0-0.0,0,0,83590,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.855,,
6,,iti,,html-keyboard-response,6,21446,0.0-1.0-4.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,
7,,size_choice,,html-keyboard-response,7,21644,0.0-1.0-6.0,0,0,83590,,195.0,,,68.0,1.0,1.0,1.0,1000.0,M-M,,M,M,2.0,2.0,handsaw,hairdryer,handsaw1,hairdryer2,80.0,71.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw8.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer12.jpg,1.0,handsaw,hairdryer,M,M,2.0,2.0,handsaw1,hairdryer2,,2.695,0.195,0.0,
8,,size_choice_confirmation,,html-keyboard-response,8,22953,0.0-1.0-7.0-0.0,0,0,83590,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.305,,
9,,iti,,html-keyboard-response,9,23955,0.0-1.0-8.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,
10,,size_choice,,html-keyboard-response,10,23956,0.0-1.0-10.0,0,0,83590,,0.0,,,68.0,2.0,2.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,dumptruck,teabag7,dumptruck8,136.0,177.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag10.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck7.jpg,1.0,teabag,dumptruck,S,XL,1.0,4.0,teabag7,dumptruck8,0.0,5.0,0.0,0.0,
11,,size_choice_confirmation,,html-keyboard-response,11,25459,0.0-1.0-11.0-0.0,0,0,83590,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.5,,
12,,iti,,html-keyboard-response,12,26965,0.0-1.0-12.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.5,,
